,d1,d2
Animal model,27,"['29411287', '27073405', '26818179', '26593438', '26305672', '24973386', '24035433', '21191475', '20977617', '20164763', '19656972', '19055496', '15226380', '12119390', '11927386', '11274091', '10648110', '9614486', '9544695', '9487364', '7888782', '8729818', '1782959', '2635832', '2653028', '2468901', '3896082']"
Antibody,116,"['29620968', '29590158', '29266058', '29122955', '28487863', '27908506', '27733490', '27570430', '27012310', '26924055', '26541134', '25766777', '25759760', '25613809', '25516695', '25277811', '25260023', '25117905', '25088273', '24939849', '24809371', '24419232', '24410778', '24303947', '24141510', '24035433', '23861852', '23756941', '23486421', '23482339', '23251421', '23149235', '23147965', '23139212', '22788819', '22733595', '22506966', '22442201', '22325451', '22203855', '22172863', '21958178', '21722621', '21468552', '20716167', '20538685', '20373884', '20351695', '21789119', '19762401', '19615978', '19370636', '20948772', '18437170', '18486266', '18451232', '18440296', '18423848', '18251938', '18212118', '21221182', '17892505', '17444585', '16621037', '16571844', '16540736', '16425997', '16384637', '16289529', '16126964', '15912438', '15878930', '15842653', '15700118', '14596518', '12943801', '12571613', '11845849', '11723134', '11251884', '11243306', '10893147', '10871757', '10630353', '10580195', '10498033', '10188882', '9669683', '9602330', '9569056', '9493142', '9395135', '9390664', '9082830', '8760413', '8660851', '8837395', '9005219', '7921751', '8259288', '8205595', '1424272', '1521937', '2315886', '2635832', '3162887', '3384221', '3361083', '3532004', '2442268', '3514071', '6333289', '6734123', '6373321', '6170630', '331574']"
Bio-identical,0,[]
Cell+line,40,"['29079132', '27658515', '27416726', '26274524', '26040981', '25572125', '23861852', '23585122', '23398657', '22843200', '21753184', '21048103', '20836126', '20694726', '20422382', '19480971', '19367293', '19138042', '18423848', '17963284', '17634277', '17556377', '17514734', '17326840', '15386359', '15296479', '15169881', '14641819', '12928374', '12201948', '12031712', '11991961', '10687954', '10607716', '9610741', '7963672', '8130082', '1424272', '1608859', '2436764']"
Clinical+Trials,142,"['29536412', '29178676', '29175676', '28838250', '28552051', '28449868', '28355432', '28280619', '28236087', '28064110', '27465880', '27795816', '27178663', '27374051', '27237826', '27071029', '26932226', '26904266', '26860124', '26689922', '26645905', '26604794', '26566105', '26469760', '26319903', '26245674', '25987259', '25890587', '25754272', '25608756', '25499229', '25260023', '25204013', '25197047', '25028396', '25017889', '24865150', '24618312', '24590919', '24303947', '24259733', '23819776', '23805340', '23792214', '23747787', '23554440', '23385647', '23354875', '22960558', '22920483', '22848149', '22732510', '22506966', '22500684', '22489272', '22424003', '22272177', '22160066', '22108687', '21908578', '21883323', '21864744', '21684021', '21569566', '21447807', '21443280', '21420313', '21323501', '21114637', '20965156', '20858178', '20377657', '20660702', '20589167', '20123847', '19927500', '19922118', '19796042', '19536049', '19373088', '19372570', '19370636', '19305337', '19299662', '19237831', '19210158', '19179866', '18776154', '18437170', '18481818', '18232726', '18069274', '17963466', '17691958', '17550953', '17540969', '17349528', '17272797', '17109610', '16952070', '16771615', '16738536', '16584336', '16552219', '16483069', '16264880', '16180654', '16126334', '15984904', '15912438', '15679061', '15626316', '15591721', '14610381', '14530498', '12562657', '12497099', '11981317', '11918519', '11917239', '11445906', '11304486', '10914614', '10738420', '10563178', '9820119', '9675757', '8790414', '8694007', '8738448', '9097748', '7601014', '7614899', '7842265', '8207308', '8251695', '8321079', '8449563', '1293266', '2020610', '2488084', '6784621']"
Clone,11,"['27012310', '23277162', '20716167', '18449811', '17319852', '16540736', '16375916', '11845849', '10233390', '7949084', '8276405']"
Conflict+of+Interest ,2,"['28739479', '24838701']"
Contamination,10,"['28968771', '23056612', '16836563', '11385317', '1794994', '2135955', '2548540', '3194932', '2833225', '99649']"
Dose-dependent,34,"['27270564', '27051663', '26874675', '25013451', '24468586', '24382458', '23353901', '22843200', '21300557', '21083942', '20361947', '20335017', '19409913', '18458659', '18423848', '17556377', '16908623', '16866913', '16809445', '16797107', '16750634', '16571844', '15700118', '15322180', '12697588', '12552202', '12083418', '11274091', '11204855', '10861752', '8760413', '7570606', '7978477', '1569832']"
Gender,127,"['29380704', '29357088', '28836113', '28552051', '28154706', '28101479', '28095501', '27466512', '27461576', '27403385', '27389130', '27366708', '26915603', '26870090', '26727307', '26433192', '26169463', '26084654', '25313147', '25198373', '24696604', '24529684', '24013838', '23948112', '23929442', '23893404', '23805340', '23544624', '23439056', '23302541', '23276787', '23274480', '23166820', '23098781', '23050788', '22580087', '26815834', '22380007', '22291764', '22221429', '22150070', '22094796', '21916607', '21789709', '21752885', '21698485', '21569126', '21480470', '21240670', '21239185', '21166613', '21093493', '21051904', '20971517', '20835556', '20621933', '20192932', '19922118', '19801583', '19632736', '19550095', '19496830', '19379065', '19336950', '19185538', '18804220', '18779193', '18696280', '18615351', '18565402', '18486266', '18388889', '18386107', '17934823', '17889635', '17711887', '17540969', '17539983', '17403471', '17339003', '17143022', '17089241', '17054690', '16904551', '16834924', '16787286', '16681853', '16457418', '16448390', '16364133', '16301883', '15998649', '15811929', '15768007', '15722190', '15500299', '15480139', '15325844', '15128402', '15034217', '12892857', '12841118', '12655411', '12616808', '12573734', '12360107', '12231541', '12211047', '12142331', '12107043', '11356990', '11076369', '10846197', '10738420', '10461987', '10447151', '10235574', '9935197', '9829496', '9311508', '9226362', '9056840', '7654736', '7791579', '7788337', '7855376', '7696284']"
