,0
331574,1977
762202,1979
943089,1976
1003006,1976
1112052,1975
1293266,1992
1311988,1992
1322427,1992
1424272,1992
1444321,1992
1507935,1992
1521937,1992
1569832,1992
1581006,1992
1608859,1992
1755006,1991
1782959,1991
1794994,1991
1898610,1991
1972988,1990
2020610,1991
2035556,1991
2099042,1990
2135955,1990
2193811,1990
2206784,1990
2315886,1990
2436764,1987
2468901,1988
2478503,1989
2488084,1989
2548540,1989
2653028,1989
2663719,1989
2666517,1989
2684316,1989
2833225,1988
2849485,1986
2907080,1988
3047201,1988
3114484,1987
3162887,1988
3322387,1987
3335168,1988
3361083,1988
3384221,1988
3384802,1988
3485627,1986
3514071,1986
3527224,1986
3532004,1986
3732370,1986
3896082,1985
3902008,1985
3949641,1986
4019157,1985
6137171,1983
6149146,1984
6151673,1984
6170630,1981
6189502,1983
6231429,1984
6333289,1984
6373321,1984
6691747,1984
6734123,1984
6756089,1982
6784621,1981
6834635,1983
6985419,1980
7000745,1980
7025282,1981
7067548,1982
7105505,1982
7530830,1995
7541710,1995
7541892,1994
7544579,1995
7570606,1995
7590820,1995
7595854,1995
7601014,1995
7614899,1995
7657130,1995
7665455,1995
7696284,1994
7697902,1995
7768201,1995
7788337,1995
7791579,1995
7838530,1995
7842265,1994
7855376,1994
7863640,1994
7879590,1994
7888782,1995
7912509,1994
7921751,1994
7949084,1994
7963672,1994
7978477,1994
8060226,1994
8091467,1994
8117116,1994
8119752,1994
8130082,1993
8205595,1993
8207308,1993
8251695,1993
8259288,1993
8276405,1993
8321079,1993
8449563,1993
8462793,1993
8660851,1996
8694007,1996
8729818,1995
8738448,1996
8748046,1995
8752349,1996
8760413,1996
8772802,1996
8790414,1996
8819803,1996
8837395,1996
8865474,1996
8882464,1996
8954028,1996
9003689,1996
9005219,1996
9056840,1997
9082830,1996
9097748,1995
9111616,1997
9117036,1997
9122769,1996
9173209,1997
9226362,1997
9246184,1997
9246185,1997
9253376,1997
9274018,1997
9311508,1997
9332906,1997
9390664,1997
9395135,1997
9436005,1997
9487364,1998
9493142,1998
9504939,1998
9541096,1998
9544695,1998
9569056,1998
9579791,1998
9601170,1998
9602330,1998
9610741,1998
9614486,1998
9669683,1998
9675757,1998
9727673,1998
9745423,1998
9756129,1998
9807738,1998
9820119,1998
9823005,1998
9829496,1998
9843471,1998
9884866,1998
9935197,1999
10053104,1999
10092812,1999
10188882,1999
10194457,1999
10208468,1999
10233390,1999
10235574,1999
10447151,1999
10461987,1999
10488705,1999
10498033,1999
10540193,1999
10559367,1999
10563178,1999
10580195,1999
10599363,1999
10607716,2000
10630353,1999
10648110,2000
10656220,2000
10662983,2000
10674900,2000
10675820,1999
10687954,2000
10726329,2000
10738420,2000
10754408,2000
10764769,2000
10813256,1999
10820581,2000
10846197,2000
10861752,2000
10871757,2000
10893147,2000
10895098,2000
10979947,2000
11025706,2000
11064445,2000
11068483,2000
11076369,2000
11076503,2000
11092259,2000
11105972,2000
11106319,2000
11135321,2001
11160411,2001
11165988,2001
11204855,2000
11207630,2001
11220563,1999
11227070,2001
11243306,2001
11251884,2001
11259773,2001
11270908,2001
11274091,2001
11278203,2001
11281195,2001
11304486,2001
11372005,2001
11385138,2001
11385317,2001
11430205,2001
11445906,2001
11455741,2001
11470282,2001
11472295,2001
11476441,2001
11504477,1999
11550345,1999
11552314,2001
11553382,2001
11602525,2001
11723134,2002
11845849,2002
11898075,2002
11917239,2002
11918519,2002
11927386,2002
11966345,2002
11981317,2002
11991961,2002
11997204,2002
11997308,2002
12027415,2002
12031712,2002
12043933,2002
12050724,2001
12083418,2002
12108719,2002
12118067,2002
12119390,2002
12142331,2002
12201948,2002
12211047,2002
12231541,2002
12360107,2002
12390634,2002
12394429,2002
12497099,2000
12515562,2003
12535437,2003
12552202,2003
12562657,2003
12571613,2003
12573734,2003
12593723,2002
12616808,2002
12631290,2003
12642737,2003
12655411,2003
12664385,2003
12665160,2003
12697588,2003
12741968,1996
12766472,2003
12841118,2003
12892857,2003
12913634,2003
12915530,2003
12928374,2003
12943801,2003
12974172,2003
14530498,2003
14596511,2003
14596518,2003
14724165,2004
14726922,2004
14756233,2003
15034217,2004
15035899,2003
15061118,2004
15076144,2004
15107199,2004
15117493,2004
15128402,2004
15163299,2004
15169881,2004
15179216,2004
15212341,2004
15226380,2004
15246291,2004
15296479,2004
15322180,2004
15325844,2004
15386359,2005
15454722,2004
15480139,2004
15500299,2004
15518817,2004
15534911,2004
15538218,2004
15538715,2005
15557640,2004
15582664,2005
15591261,2005
15591721,2004
15602544,2004
15623677,2004
15626316,2004
15679061,2005
15691638,2005
15700118,2005
15722190,2005
15726509,2005
15730503,2005
15735799,2005
15768007,2005
15775593,2001
15811929,2005
15831357,2005
15833233,2005
15842653,2005
15866981,2005
15867938,2005
15878930,2005
15893376,2005
15912438,2004
15946660,2005
15950428,2005
15958437,2005
15974890,2005
15984904,2005
15998649,2005
16007346,2005
16111473,2005
16115723,2006
16126334,2006
16126964,2005
16166267,2006
16172441,2005
16180654,2005
16197921,2006
16253764,2005
16264880,2005
16289529,2005
16301883,2005
16302160,2005
16364133,2005
16370562,2005
16375916,2006
16413609,2006
16425997,2006
16443747,2006
16448390,2006
16457418,2005
16483069,2006
16540736,2006
16552219,2006
16571844,2006
16584336,2006
16599912,2006
16621037,2006
16636066,2006
16647907,2006
16681853,2006
16723537,2006
16738536,2006
16750634,2006
16771615,2006
16787286,2006
16797107,2006
16809445,2006
16834924,2006
16836563,2006
16840535,2006
16866913,2006
16904551,2006
16908623,2006
16952070,2006
17045987,2006
17054690,2006
17074006,2006
17077077,2006
17089241,2006
17100655,2006
17109610,2006
17134918,2007
17161777,2006
17220089,2006
17285011,2007
17291192,2007
17304577,2007
17326840,2007
17339003,2007
17376835,2007
17403471,2007
17444585,2007
17514734,2008
17516702,2004
17539983,2007
17540969,2007
17550953,2007
17556377,2007
17582631,2007
17634277,2007
17646512,2007
17656446,2007
17659194,2007
17686137,2007
17691958,2007
17702362,2007
17711887,2007
17881795,2007
17883994,2007
17889635,2008
17892505,2008
17917319,2007
17934823,2008
17936221,2007
17955371,2008
17963284,2007
17963466,2007
18029465,2008
18069274,2007
18075843,2007
18184678,2008
18203896,2008
18212118,2008
18232726,2008
18251938,2008
18386107,2008
18388889,2008
18423848,2008
18437170,2008
18440296,2008
18449811,2008
18451232,2008
18458659,2008
18460981,2008
18468849,2009
18481818,2008
18486266,2008
18565402,2008
18615351,2008
18625986,2008
18662694,2008
18696280,2008
18776154,2008
18779193,2008
18795969,2009
18804220,2009
18824040,2009
18829214,2008
18922174,2008
18926877,2008
19055496,2009
19138042,2008
19147816,2009
19179866,2009
19185538,2009
19187188,2009
19196465,2009
19210158,2009
19218356,2009
19237831,2009
19245511,2009
19299662,2009
19302212,2009
19305337,2009
19307513,2009
19336434,2009
19336950,2009
19367293,2009
19370636,2009
19372570,2009
19373088,2009
19379065,2009
19394024,2009
19409913,2009
19428273,2009
19480971,2009
19496830,2010
19502315,2009
19536049,2009
19550095,2009
19565284,2009
19615978,2009
19632736,2010
19656972,2009
19695013,2010
19704032,2009
19757214,2010
19762401,2009
19769491,2009
19780539,2009
19781654,2010
19796042,2009
19801583,2010
19804150,2005
19820404,2010
19827010,2009
19879720,2010
19900082,2009
19927500,2009
20067548,2010
20072612,2010
20123847,2010
20164763,2010
20170318,2010
20192932,2010
20222035,2010
20329799,2010
20332770,2010
20335017,2010
20351695,2010
20361947,2010
20373884,2010
20377657,2010
20413225,2010
20413698,2010
20420817,2010
20422382,2010
20448666,2010
20472094,2010
20488631,2010
20519351,2010
20520285,2010
20538685,2010
20538692,2010
20539904,2010
20562698,2010
20567148,2010
20588178,2010
20589167,2010
20604800,2010
20616164,2010
20621933,2011
20660702,2010
20694726,2011
20706731,2011
