,d1,d2
Animal model,16,"['28381441', '27246365', '26924347', '25965192', '24472848', '17474321', '17379248', '16731800', '16550161', '11896022', '11356819', '11024536', '1487755', '3202811', '3378162', '3487376']"
Antibody,99,"['29594121', '29559570', '28763062', '28376065', '27997763', '27631337', '26386081', '25983040', '25267332', '24925479', '23651723', '23604067', '23284971', '23118662', '22949840', '22759079', '25161402', '22426959', '22355547', '22095450', '22093619', '21666477', '21272378', '21058954', '20971830', '20491462', '19169278', '19014578', '18471062', '17897609', '17688643', '17130786', '16970879', '16879217', '16843878', '16740273', '16606438', '16461431', '16193836', '16019207', '15498048', '15179190', '14678781', '14575241', '12794116', '12496178', '12466486', '12270728', '12072493', '11982588', '11861670', '11699224', '11697497', '11520765', '11399051', '11146425', '10712671', '10573082', '10338522', '10098833', '10029075', '10028843', '9878041', '9413633', '9394310', '9000666', '8979022', '8892952', '8784084', '8707874', '8636703', '7749141', '7551711', '7521514', '7903154', '7693038', '8338338', '18609557', '8212842', '1444501', '16653052', '1612477', '1552190', '1786144', '2099186', '2176062', '2168100', '1692836', '1705176', '3058913', '3129449', '3345793', '2457556', '3510121', '6682732', '6973472', '404346', '792343', '4285534']"
Bio-identical,0,[]
Cell+line,41,"['28506695', '27054116', '26725096', '25889317', '25145274', '23383963', '22952575', '22580450', '22169011', '21052827', '20096120', '20048746', '19875691', '19014578', '18977144', '18583526', '17472585', '16971535', '16899617', '16822861', '16474002', '15588765', '12595465', '12209009', '12115584', '11836559', '11418694', '11147697', '10735597', '10657849', '10487528', '9724117', '9417296', '8625945', '8185652', '8047068', '18609557', '1720558', '1847123', '3582279', '3875901']"
Clinical+Trials,57,"['28731876', '28508119', '28395324', '27832705', '27604607', '27543532', '27391391', '27275336', '27175674', '26858840', '25983040', '25662053', '25537107', '25446254', '24959784', '24898440', '24211734', '24035139', '23999507', '24847174', '23236426', '23129868', '22819575', '22211405', '21511811', '21423014', '21365015', '20659341', '20602189', '20595577', '20539322', '20401920', '19940996', '19808643', '19289333', '19248311', '18512767', '16842799', '16235296', '16187688', '14971252', '14752796', '14504160', '12769723', '12766088', '12413253', '11190068', '10929930', '10440767', '10086479', '9973883', '8004612', '8018619', '1389055', '1533027', '1844560', '6431433']"
Clone,5,"['23469063', '16606438', '11699224', '11697497', '2493048']"
Conflict+of+Interest ,1,['24001715']
Contamination,11,"['29272411', '27640347', '27179269', '25545971', '16150477', '15169976', '15006730', '11276370', '10880191', '8590278', '2485127']"
Dose-dependent,32,"['28498098', '26757191', '26147011', '24924946', '24361347', '24036492', '21559523', '21143499', '19432819', '19369401', '18714151', '18496507', '17020930', '12766088', '10831643', '9742158', '9218202', '8764055', '8636167', '8625945', '7734331', '1357580', '1796318', '2168100', '3139583', '3345793', '2975970', '3683442', '3786336', '2420966', '3875405', '6089971']"
Gender,62,"['29488875', '28397028', '27865374', '27324721', '27060929', '27032425', '26005364', '25809378', '25653978', '25648025', '24908111', '24643428', '24239931', '23208478', '23065791', '25328348', '22735397', '22729228', '22729227', '22582185', '22293055', '25197540', '21849968', '21558034', '21340593', '21292026', '21238894', '21236504', '21225307', '20841783', '20452662', '20447659', '20102093', '19567893', '19026298', '18710756', '18426323', '18355921', '18065445', '18022678', '17908332', '17618457', '17466005', '17196758', '16787286', '16676224', '15735242', '15710303', '15659151', '15350489', '15232600', '12788803', '12638644', '12190089', '12138149', '11370798', '10864100', '10843181', '8800107', '8766458', '8868547', '7723954']"
Positive+control,4,"['22561669', '20368127', '11466175', '9559734']"
Questionairre,0,[]
Reproducibility,9,"['27642043', '25007965', '23163271', '21361392', '12737619', '11084461', '8476050', '3803383', '7135200']"
Reproducible+Results,0,[]
Sensitivity,152,"['29618508', '29562676', '28583277', '28423886', '28381446', '28324340', '28070530', '27640347', '27444304', '27424795', '27275336', '27179269', '27043071', '28717712', '26849447', '26627776', '26535061', '26505578', '26471811', '26254697', '26059219', '25965192', '25883418', '25608244', '25496719', '25448462', '25407036', '25317310', '25172980', '24921639', '24889776', '24639665', '23715824', '23684959', '23194380', '23163271', '23099186', '25328348', '22949840', '22864617', '22773782', '22644513', '22536154', '22529196', '22244200', '23705134', '22155255', '22154198', '22095450', '21666477', '21398512', '21365015', '20961368', '20702398', '20373060', '20096120', '20026672', '19810581', '19661450', '19573884', '19404890', '19014578', '22443705', '18492142', '18421800', '18304850', '18212270', '17914699', '17680565', '17577120', '17466005', '17459942', '17254620', '17242494', '17209321', '17126837', '16873787', '16785040', '16740273', '16676224', '16324037', '16238650', '16194605', '16187688', '15832770', '15735242', '15642120', '15588765', '15294031', '15242758', '15014969', '14678916', '12638644', '12364387', '12194894', '12115728', '12062443', '11756610', '11568568', '11370798', '11330353', '11103802', '11041543', '11002571', '10877334', '10842006', '10815472', '10803581', '10488051', '10361328', '10213446', '9853425', '9362058', '9548208', '9249928', '8701792', '8868547', '8770334', '7535813', '7850935', '8075124', '8200109', '8272588', '8269275', '8437259', '1444501', '1620912', '1552190', '1284142', '1987581', '1983109', '2125706', '1697618', '2378856', '3171980', '3139583', '2970923', '3066561', '3377059', '3426799', '3772428', '3729666', '4014428', '3161538', '3984216', '3975045', '6474353', '6597686', '6826649', '748003', '4593239', '4285534']"
