,d1,d2
Animal model,4,"['22193548', '21423454', '16552394', '10516963']"
Antibody,17,"['29462871', '29323137', '27064487', '26952655', '16344862', '16020753', '15080822', '12787360', '9392327', '8905027', '8620336', '7716706', '1375966', '1786403', '3731526', '6322974', '6346489']"
Bio-identical,0,[]
Cell+line,11,"['28224027', '26683635', '23662578', '22402212', '19079545', '17499714', '16541129', '15794948', '15326395', '12485908', '11812635']"
Clinical+Trials,14,"['29462871', '28754721', '28550481', '27063256', '24054395', '23380028', '22888799', '22525851', '21607134', '19474715', '18020893', '17141594', '11028504', '3291836']"
Clone,2,"['11911305', '1698101']"
Conflict+of+Interest ,0,[]
Contamination,3,"['26467987', '19374222', '7775970']"
Dose-dependent,16,"['28746918', '24905496', '20944117', '18654411', '18374327', '18020588', '17499714', '12540020', '11213016', '10027515', '9755110', '8791266', '1342294', '6337900', '756169', '18752']"
Gender,21,"['27430109', '27063256', '27017325', '25701466', '24999483', '24061072', '23579788', '23229034', '22525851', '21109213', '20922515', '20348058', '19074930', '18830709', '18374327', '17903323', '17938040', '15817070', '15204443', '15118423', '11084945']"
Positive+control,0,[]
Questionairre,0,[]
Reproducibility,1,['28266084']
Reproducible+Results,0,[]
Sensitivity,34,"['29615961', '29428108', '28025127', '26450835', '26122877', '24175162', '22193548', '22115949', '21464054', '21048932', '20875703', '19407498', '19182461', '18409352', '17914967', '14759071', '14690868', '12194748', '12097239', '11812635', '10914719', '10746149', '10554796', '10516963', '10511694', '10406179', '10093018', '9396180', '9234057', '9111231', '8810057', '1854266', '1846387', '3537630']"
Specificity,17,"['29428108', '29323137', '22771140', '24175162', '21048932', '18843847', '15127223', '14690868', '12729587', '12429047', '10914719', '10093018', '9111231', '8810057', '7552067', '381530', '333397']"
Strain,14,"['28224027', '26956082', '26820297', '25609693', '24244454', '24112782', '23625488', '16715125', '16541129', '14597218', '11674840', '1704655', '3996845', '6994717']"
Survey,6,"['28918834', '26706736', '22161265', '15204443', '10974484', '835143']"
animal+Model ,4,"['22193548', '21423454', '16552394', '10516963']"
bioavailability,4,"['24188271', '19074930', '12161165', '8354016']"
bioavailable,0,[]
case+study,2,"['15107604', '6608912']"
coaching,0,[]
confounding+factor,0,[]
data+quality,1,['17665088']
dosage,4,"['28744152', '19374222', '11059764', '10973354']"
dosing,1,['22525851']
drug+interaction,1,['21878085']
general+conclusion,0,[]
generalized+conclusion,0,[]
human+error,0,[]
in-vitro+in-vivo+correlation,0,[]
indirect+measurement,0,[]
insufficient+information,1,['12161165']
long+term+study,0,[]
misinterpretation,0,[]
off-label,0,[]
omission,0,[]
phase+III+trials,1,['18020588']
pilot+study,2,"['24727734', '22991383']"
placebo,5,"['27863277', '23525894', '19074930', '15368955', '10516963']"
plasmid,4,"['25358358', '15967739', '10902732', '8810057']"
poor+quality,1,['27863129']
qualitative+data,0,[]
quality,26,"['28266084', '28027265', '27863129', '26706736', '25783794', '23901129', '23258186', '21464054', '21109213', '20875703', '19635247', '18609060', '18349572', '17938040', '17665088', '15893056', '15122656', '14656285', '12161165', '12097239', '11873595', '10914719', '10093018', '8695544', '2406107', '1083575']"
short +term + study,0,[]
side+effects,4,"['23375875', '23250690', '22991383', '18609060']"
speculation,0,[]
sub-threshold,0,[]
survey,6,"['28918834', '26706736', '22161265', '15204443', '10974484', '835143']"
transparency,1,['23380028']
wrong+conclusion,0,[]
