,d1,d2
Animal model,1,['24649508']
Antibody,14,"['25706384', '25620498', '21156795', '19649704', '7760001', '17590699', '8370668', '2124983', '2376089', '2555197', '3198734', '3135318', '583403', '5322755']"
Bio-identical,0,[]
Cell+line,12,"['25713979', '25002532', '23252683', '22761943', '21374593', '19106624', '10358069', '9332732', '9315112', '8144511', '2555197', '3135318']"
Clinical+Trials,6,"['28713515', '23808779', '21603581', '17438017', '17216393', '15379604']"
Clone,1,['20137987']
Conflict+of+Interest ,0,[]
Contamination,4,"['28753286', '20191371', '17369548', '3590192']"
Dose-dependent,10,"['28196456', '27710012', '25249838', '24579548', '19240369', '17651700', '17392048', '11157806', '10835047', '1379165']"
Gender,8,"['29110804', '25467622', '23184911', '19842933', '17392048', '16350817', '15459532', '14706483']"
Positive+control,2,"['23668247', '11857540']"
Questionairre,0,[]
Reproducibility,3,"['17369548', '19662221', '15673323']"
Reproducible+Results,0,[]
Sensitivity,30,"['28739528', '28490351', '28461139', '27258377', '25865982', '25709540', '24997879', '23993897', '24551762', '22201871', '20203199', '20139065', '19183815', '18172430', '18088022', '17369548', '17229085', '16083348', '12970254', '11925110', '11300328', '11278745', '10850597', '10654948', '10404407', '9833582', '3135318', '7464844', '153319', '5322755']"
Specificity,15,"['28490351', '25709540', '25706384', '23993897', '22201871', '19528164', '18042067', '12970254', '12754093', '12464266', '11300328', '10654948', '9833582', '1730748', '153319']"
Strain,9,"['28739528', '24649508', '24083141', '20026229', '19397200', '19183815', '11857540', '2404951', '6300315']"
Survey,2,"['29110804', '1730748']"
animal+Model ,1,['24649508']
bioavailability,1,['6613216']
bioavailable,0,[]
case+study,1,['22701329']
coaching,0,[]
confounding+factor,0,[]
data+quality,0,[]
dosage,4,"['27633038', '24083141', '17392048', '18415209']"
dosing,2,"['29029067', '1397799']"
drug+interaction,0,[]
general+conclusion,0,[]
generalized+conclusion,0,[]
human+error,0,[]
in-vitro+in-vivo+correlation,0,[]
indirect+measurement,0,[]
insufficient+information,0,[]
long+term+study,0,[]
misinterpretation,1,['26345679']
off-label,0,[]
omission,2,"['27558024', '2571241']"
phase+III+trials,0,[]
pilot+study,1,['15310638']
placebo,6,"['29128558', '28713515', '25353174', '25091820', '16503402', '9209174']"
plasmid,2,"['25822588', '8144511']"
poor+quality,1,['24914325']
qualitative+data,0,[]
quality,14,"['26753482', '26345679', '26093697', '24914325', '22096275', '21677474', '21253373', '19181741', '17636774', '16861701', '16208500', '12561595', '9550023', '5322755']"
short +term + study,0,[]
side+effects,2,"['15738861', '18415209']"
speculation,1,['1379165']
sub-threshold,0,[]
survey,2,"['29110804', '1730748']"
transparency,0,[]
wrong+conclusion,0,[]
