,0
153319,1979
583403,1979
1379165,1992
1397799,1992
1730748,1992
2124983,1990
2376089,1990
2404951,1990
2555197,1989
2571241,1989
3135318,1988
3198734,1988
3590192,1987
5322755,1965
6300315,1983
6613216,1983
7464844,1980
7760001,1995
8144511,1994
8370668,1993
9209174,1997
9315112,1997
9332732,1997
9550023,1997
9833582,1998
10358069,1999
10404407,1999
10654948,2000
10835047,2000
10850597,1999
11157806,2001
11278745,2001
11300328,2001
11857540,2002
11925110,2002
12464266,2002
12561595,2001
12754093,2003
12970254,2003
14706483,2004
15379604,2004
15459532,2004
15673323,2005
16083348,2005
16208500,2006
16350817,2005
16503402,2006
16861701,2006
17216393,2007
17229085,2006
17369548,2007
17392048,2007
17438017,2007
17590699,1993
17636774,2007
17651700,2007
18042067,2007
18088022,2007
18172430,2008
18415209,1990
19181741,2009
19183815,2009
19528164,2009
19649704,2010
19662221,2007
19842933,2009
20026229,2010
20137987,2010
20139065,2010
20191371,2010
20203199,2010
21156795,2011
21253373,2010
21374593,2012
21603581,2011
21677474,2011
22096275,2011
22201871,2012
22701329,2012
22761943,2012
23184911,2013
23252683,2013
23668247,2013
23808779,2013
23993897,2013
24083141,2013
24551762,2012
24579548,2012
24914325,2014
24997879,2014
25002532,2014
25091820,2014
25249838,2014
25353174,2014
25467622,2015
25620498,2015
25706384,2015
25713979,2015
25822588,2015
26093697,2015
26345679,2017
26753482,2015
27258377,2016
27558024,2016
27633038,2016
27710012,2017
28196456,2017
28461139,2017
28490351,2017
28713515,2017
28739528,2017
28753286,2017
29029067,2017
29110804,2017
29128558,2018
