term1,
in-vitro+in-vivo+correlation,
Animal model,
animal+Model ,human+disease
Antibody,
bioavailability,
bioavailable,
Bio-identical,
case+study,
case+study,
Cell+line,
Clinical+Trials,
Clone,
coaching,
Conflict+of+Interest ,
confounding+factor,
Contamination,
data+quality,
dosage,
Dose-dependent,
dosing,
drug+interaction,
Gender,
general+conclusion,
generalized+conclusion,
human+error,
indirect+measurement,
insufficient+information,
long+term+study,
misinterpretation,
off-label,
omission,
phase+III+trials,
pilot+study,
placebo,
plasmid,
poor+quality,
Positive+control,
qualitative+data,
quality,
Questionairre,
Reproducibility,
Reproducible+Results,
Sensitivity,
short +term + study,
side+effects,
Specificity,
speculation,
Strain,
sub-threshold,supplements
Survey,
survey,
transparency,
wrong+conclusion,
