,d1,d2
Animal model,38,"['28272927', '24656405', '23917953', '23509848', '22152220', '21938374', '21717264', '21445691', '21046162', '20856155', '20432205', '19933535', '19709796', '19434747', '18931216', '17637406', '17543299', '17459566', '17156366', '16251122', '15502048', '14530193', '12107773', '1467152', '3257305', '3789599']"
Antibody,160,"['29600441', '29581415', '28734992', '27129395', '25434797', '25383253', '25362562', '25227305', '24560420', '24182579', '23046996', '22911094', '22016880', '20176790', '17213796', '16840998', '16816384', '16364653', '16167198', '15953180', '12148241', '12119019', '10845892', '10704379', '9172076', '9112674', '7654601', '7698984', '7869108', '8345105', '7682966', '1473160', '1370314', '1662283', '2196568', '2399808', '2729610', '2455574', '2435817', '3590080', '2940347', '2988988', '3886149', '6372898', '7045695', '7013254', '395161', '350415', '342492', '4591953', '4583879']"
Bio-identical,0,[]
Cell+line,184,"['28328017', '26909548', '26587278', '26379503', '26151844', '25367795', '24928194', '22818188', '22809083', '19628771', '15380327', '12883473', '12600279', '11520488', '10686072', '9049250', '9067462', '7670189', '7859292', '1453685', '1902574', '2551498', '3367396', '3085282']"
Clinical+Trials,57,"['29600441', '28384800', '28341221', '28040596', '26665095', '26387520', '25612658', '25334090', '25035389', '23423413', '22664646', '22138727', '21924804', '21343631', '20035355', '19852663', '17123445', '15544278', '11364919', '10993010', '7545222', '12313225']"
Clone,27,"['28783371', '15599052', '10085261', '4607944']"
Conflict+of+Interest ,1,"['28447746', '24796938']"
Contamination,14,"['27818683', '27000421', '24928194', '24598373', '22818188', '22743633', '20166838', '20063015', '18091414', '15585294', '14673523', '10550028', '10364862', '9921315', '9341276', '8666769', '3400036']"
Dose-dependent,95,"['28444745', '28121356', '27039209', '26165557', '23051153', '21541247', '18474415', '16806150', '16379023', '12871374', '12417182', '10704379', '10400315', '10328761', '10103101', '9655183', '23839547', '23839884', '23839836', '1487498', '1507037', '2148946', '2116423', '2370296', '3367396', '3127855', '3443111']"
Gender,60,"['29531022', '29049633', '28455482', '27790473', '26083381', '24970288', '24349783', '21560689', '21505918', '25132890', '20625740', '20228659', '20094068', '19499278', '18474156', '17478283', '17324263', '16910604', '16202047']"
Positive+control,8,['17536925']
Questionairre,0,[]
Reproducibility,14,"['29345088', '29259084', '28976050', '28958817', '28734992', '27286650', '25035389', '23054278', '21126924', '19426194', '15296857', '12948150', '9346427', '1947845']"
Reproducible+Results,0,['24269174']
Sensitivity,218,"['29444833', '28611216', '28120494', '28095024', '28045714', '27978463', '27897141', '27775785', '27689085', '27534920', '27222653', '27134183', '27070108', '26997557', '26230597', '26185672', '25979554', '25770739', '25398499', '24949487', '24921111', '24078320', '23881659', '23306012', '23294073', '23166916', '23093726', '22508774', '22302027', '22184610', '21560689', '21430443', '19770598', '18601667', '18408632', '17826095', '17633884', '17612185', '17590272', '17543299', '17496588', '17268036', '17136395', '29024436', '15733198', '14608265', '12771767', '12456104', '11398329', '11316025', '11005642', '28008511', '10429438', '10066156', '9572515', '9263025', '9212072', '9184888', '8816656', '8161747', '7528033', '8331942', '1522276', '1495806', '1770167', '1886928', '1839854', '1839842', '1815896', '2382397', '2515603', '2900581', '6371027', '5498516', '5840795']"
Specificity,123,"['28095024', '27775785', '27134183', '26230597', '25979554', '25900475', '23509848', '23413424', '23306012', '23093726', '22695776', '22664646', '22508774', '21454506', '21224416', '20604544', '18601667', '18408632', '18174140', '17633884', '12771767', '11453260', '9836873', '8816656', '7494361', '8571666', '7483814', '8165994', '8421048', '1495806', '1321160', '6861889']"
Strain,110,"['29262372', '28895256', '27886426', '27454761', '26809217', '26360596', '25900475', '25695518', '25010391', '24624644', '24253194', '23587930', '23188730', '23038729', '22840489', '22198263', '21979310', '21663384', '21593142', '21167117', '21144695', '20981536', '20393396', '20176790', '19831488', '19694284', '18575310', '18423484', '18193965', '15592224', '15541085', '15457017', '12745672', '12671248', '11237419', '11001139', '10866943', '10509990', '10340526', '9666400', '9612215', '9151610', '8824735', '7881760', '2544962', '3459364', '535216', '856971', '5439320']"
Survey,54,"['29451549', '29403283', '28840875', '28683764', '27454761', '27140508', '26252752', '26185672', '27345871', '24754060', '24754059', '24708140', '24456256', '23652169', '23115617', '22423330', '22331199', '21544560', '20222787', '17324263', '16905059', '15387154', '11319406', '10557828', '9921315', '9345157', '1495051', '1544030', '3147062', '4084832', '31726']"
animal+Model ,38,"['28272927', '24656405', '23917953', '23509848', '22152220', '21938374', '21717264', '21445691', '21046162', '20856155', '20432205', '19933535', '19709796', '19434747', '18931216', '17637406', '17543299', '17459566', '17156366', '16251122', '15502048', '14530193', '12107773', '1467152', '3257305', '3789599']"
bioavailability,18,[]
bioavailable,4,[]
case+study,15,"['29056790', '27956822', '29451542', '26439083', '24714396', '23054278', '25215033', '20136577', '15998609', '10429438', '2284685']"
coaching,0,[]
confounding+factor,0,[]
data+quality,0,[]
dosage,26,"['23666482', '15124054', '10066156', '23839836', '3884136', '1027757']"
dosing,10,"['28384800', '27769522', '16326378', '15083263', '14608265', '856971']"
drug+interaction,0,[]
general+conclusion,0,['2891681']
generalized+conclusion,0,[]
human+error,0,[]
in-vitro+in-vivo+correlation,0,[]
indirect+measurement,0,[]
insufficient+information,0,[]
long+term+study,1,['12124536']
misinterpretation,0,['27751806']
off-label,0,[]
omission,6,"['27060554', '16893357', '2486063']"
phase+III+trials,2,[]
pilot+study,21,"['28237802', '27870132', '27006718', '26066667', '22957353', '22148126', '21689950', '22437639', '20981536', '19835642', '18553208', '18071794', '17175838', '17042025', '16905069', '15347122', '11698790', '10029670', '9151610']"
placebo,158,"['28479034', '28384800', '27471887', '27271789', '26997557', '26094200', '25563879', '25334090', '24675098', '23624419', '21367625', '17652297', '17123445', '11364919', '8704533']"
plasmid,42,"['22818188', '22809083', '7553917', '6114615', '338595']"
poor+quality,2,"['29273256', '26665095', '22184610', '20980012', '12171229', '6750672']"
qualitative+data,1,[]
quality,155,"['29540088', '29516389', '29514510', '29295508', '29273256', '29210313', '28970995', '28958817', '28820231', '28771429', '28658253', '27848190', '27746994', '27476082', '27428477', '27369181', '27271789', '27000421', '26997557', '26665095', '26103185', '25802866', '25677528', '25654147', '25621247', '25504843', '25496354', '25433345', '25243705', '25087939', '25035389', '24976395', '24921111', '24789127', '24745316', '24456256', '24224282', '24054975', '24049551', '24022761', '24004521', '23881659', '23076906', '22521394', '22385006', '22184610', '22083047', '23140713', '21692799', '21341971', '21324233', '23169028', '21099575', '21092665', '20980012', '20485766', '20354867', '20146010', '20002437', '19928080', '19462847', '19328485', '19246874', '19120781', '18002239', '17042025', '16910604', '16548734', '16517361', '16224689', '15915143', '15885325', '15716993', '15548620', '15080865', '14673523', '12171229', '11889395', '11264585', '10659260', '10524434', '10488264', '10357133', '9356936', '9863148', '7476720', '7918523', '1795080', '3481167', '4056861', '6750672', '1067147']"
short +term + study,0,[]
side+effects,77,"['29600441', '27227402', '25421574', '24980815', '24846238', '24044098', '25390966', '21541247', '21365314', '20397777', '20305602', '19921234', '17223514', '17163374', '29024436', '12352350', '10993010', '10869997', '9743980', '2838488', '12313225', '4261740']"
speculation,4,['10574746']
sub-threshold,0,[]
survey,54,"['29451549', '29403283', '28840875', '28683764', '27454761', '27140508', '26252752', '26185672', '27345871', '24754060', '24754059', '24708140', '24456256', '23652169', '23115617', '22423330', '22331199', '21544560', '20222787', '17324263', '16905059', '15387154', '11319406', '10557828', '9921315', '9345157', '1495051', '1544030', '3147062', '4084832', '31726']"
transparency,0,"['29403283', '28151522', '27881524', '26507205', '25510233', '21343631', '18389086']"
wrong+conclusion,0,[]
