,1
2108217,1990
3886405,1985
6765470,1980
8286407,1994
8406848,1993
8999116,1996
9105392,1997
9247058,1997
9546810,1997
9556431,1997
9606113,1998
11023382,1999
11885593,1999
12038295,2002
12215937,2002
12465612,1998
14508703,2003
15009622,2004
15260900,2004
15937475,2005
16484665,2006
16634966,2006
16680519,2009
16997941,2006
17213995,2007
17315305,2007
17615274,2007
17974018,2007
18049464,2007
18395605,2008
18665945,2008
18698256,2008
18788936,2008
18833694,2008
19374743,2009
19390114,2009
19557376,2009
19662678,2009
19678437,2009
19746229,2007
20146010,2010
20158675,2010
20221242,2010
20376085,2010
20483792,2010
20483793,2010
20515957,2010
20632463,2010
20682724,2010
20842784,2010
21045150,2010
21127265,2010
21303290,2011
21319981,2011
21430443,2011
21451076,2011
21505918,2011
21521365,2011
21540659,2011
21540815,2011
21682719,2011
21752242,2011
21752243,2011
21810142,2011
21826809,2011
21826810,2011
21881862,2012
22158336,2011
22302027,2012
22407143,2012
22408789,2012
22431606,2012
22454841,2012
22611249,2012
22649798,2012
22753864,2012
22911094,2012
22957353,2012
23129471,2013
23166916,2012
23259579,2013
23304713,2012
23427347,2013
23457719,2013
23509848,2013
23565525,2013
23571436,2013
23599936,2013
23599939,2013
23607112,2013
23666482,2013
23682985,2013
23688270,2013
23761728,2013
23802317,2013
23802318,2013
23881261,2013
23910947,2013
23963616,2014
23997090,2013
24022761,2013
24158632,2013
24212850,2013
24228731,2013
24316244,2014
24349783,2013
24516887,2014
24755411,2014
24757317,2014
24919019,2014
24928947,2014
24949487,2014
24976395,2014
24981928,2014
24985976,2014
25006667,2014
25007354,2014
25010391,2014
25122537,2014
25142526,2014
25319992,2014
25324543,2014
25340633,2014
25367795,2014
25438060,2014
25538317,2015
25543292,2015
25584391,2014
25654147,2015
25673870,2015
25677528,2016
25747315,2015
25802866,2015
25830185,2015
25830186,2015
25903433,2015
25969458,2015
25977971,2015
25977972,2015
25996257,2015
26176031,2015
26215830,2015
26285940,2015
26285948,2015
26292032,2015
26367349,2015
26430839,2015
26565046,2015
26576205,2015
26650200,2016
26653257,2015
26813020,2016
26909548,2016
26953556,2016
26985465,2016
27096892,2016
27114789,2016
27117180,2016
27121866,2016
27208025,2016
27234979,2016
27262022,2016
27262023,2016
27283090,2016
27345871,2015
27424121,2016
27473497,2016
27534920,2016
27614133,2016
27636105,2017
27666794,2016
27727090,2017
27818683,2016
27864106,2016
27870132,2016
27886426,2016
28042931,2017
28052743,2006
28108615,2017
28120494,2017
28143646,2017
28358145,2016
28444745,2017
28447746,2017
28455482,2017
28479034,2017
28482811,2017
28568963,2017
28610664,2017
28687138,2017
28698505,2017
28801351,2017
28823833,2017
28874538,2017
28975129,2017
29062226,2017
29095956,2017
29210313,2018
29278481,2017
29345088,2018
29376652,2018
29419962,2017
29531022,2018
29540088,2018
29598902,2018
29638084,2016
