,d1,d2
Animal model,38,"['27483303', '27460898', '26889707', '25995336', '25851468', '25621044', '25381057', '24762603', '24656405', '24077839', '23947821', '23941603', '23744736', '23030292', '22921965', '22525440', '22387856', '22364277', '22213426', '21854183', '22833948', '20879957', '20124219', '19785755', '19607689', '17611720', '16368125', '15642590', '15208318', '14977841', '11102966', '10642298', '10618412', '10559146', '9328234', '8393056', '1400454', '1979954']"
Antibody,160,"['28595908', '28264024', '27902473', '27681397', '27578898', '27121303', '28352722', '26436852', '26345774', '26003676', '25772818', '25525240', '25484052', '25434797', '25381057', '25104350', '24981928', '24595002', '24465718', '24443062', '24385585', '24338261', '23795814', '23671108', '23644569', '23440204', '23402941', '23383203', '23231732', '23223528', '23133439', '22733225', '22642642', '22108866', '22065926', '21933391', '21824890', '21553464', '21547151', '21517120', '21372295', '21325635', '21252304', '21156795', '21148031', '21102589', '20870577', '20837949', '20829510', '20795947', '20727991', '20670944', '20653821', '20421646', '20382694', '20369839', '20116265', '20060322', '20018848', '19941073', '19920073', '19757023', '19664153', '19660498', '19649704', '19413639', '19399172', '19380445', '19300490', '19141861', '19052642', '19040206', '18974386', '18821853', '18819028', '18692561', '18632654', '18524889', '18427122', '18018483', '17237224', '17204250', '17199437', '17135312', '17023390', '16974114', '16968898', '16936204', '16842121', '16840747', '16520554', '16362798', '16263789', '16200333', '16159641', '16061819', '15970594', '15950961', '15784899', '15256470', '15240731', '15039353', '15007079', '14645581', '14608366', '12672770', '12642615', '12574348', '12454141', '12438431', '12370229', '12351674', '11952142', '11948187', '11834606', '11697497', '11665979', '11518677', '11465951', '11435477', '11139469', '11108151', '10993934', '10666572', '10607850', '9879861', '9603161', '9492007', '9314560', '8700981', '8630409', '8934696', '7543632', '7531724', '7923908', '7911078', '8197188', '7511208', '7510271', '1359211', '1518830', '1569576', '1912585', '1654331', '1709882', '1998509', '2124237', '2174558', '2178033', '2089274', '2681489', '2544648', '2553601', '2452833', '3084104', '2997609', '6405790', '6171369', '6999032', '213200']"
Bio-identical,0,[]
Cell+line,184,"['28611662', '28370854', '28243335', '27936486', '27173188', '27072064', '26958809', '26934204', '26782479', '26770353', '26345468', '26322275', '26269763', '26250458', '26229488', '26125252', '26114310', '25932170', '25895459', '25792385', '25745359', '25682969', '25664140', '25629696', '25624489', '25448881', '25421212', '25367885', '25339151', '25337571', '25227666', '25204604', '25135431', '24992962', '24985976', '24946722', '24850176', '24708487', '24683000', '24376788', '24347921', '24294851', '23970374', '23906611', '23822199', '23463764', '23456767', '23438597', '23365678', '23358926', '23036582', '22924694', '22809083', '22806240', '22797325', '22642642', '22621620', '22552009', '22532603', '22528948', '22484401', '22427667', '22331597', '22290426', '22246399', '22071019', '22065926', '22051236', '21763177', '21731444', '21633303', '21406725', '21283078', '21213097', '21041627', '22444263', '20460426', '20175642', '20159966', '20149903', '20071663', '20061557', '19951606', '19906824', '19817545', '19776015', '19754427', '19607689', '19377461', '19309363', '19237581', '19236848', '19230025', '18997174', '18981223', '18559516', '18452082', '18381294', '18296915', '18273444', '18182067', '18165258', '18067406', '18060319', '17903274', '17875939', '17576198', '17487741', '17464449', '17327231', '17296563', '17278100', '17223697', '17202332', '17057710', '16920823', '16891626', '16781144', '16645343', '16508680', '16409294', '16362798', '16263156', '19956532', '16157375', '16154993', '16026327', '15970594', '15855163', '15784899', '15750339', '15750337', '15650163', '15609310', '15547111', '15507319', '15284244', '15208318', '15179047', '15177893', '14963337', '14679216', '14585844', '14557482', '12554767', '12538722', '12424250', '12024037', '11714798', '11714793', '11711437', '11518764', '11490022', '11259597', '11182366', '11165366', '11146662', '10833523', '10825206', '10820203', '10590051', '10463949', '10231003', '10066780', '9780201', '9660756', '9497388', '9439634', '9103197', '7531724', '7925305', '8142647', '8386388', '1569576', '1588795', '1998509', '1996082', '1701215', '2089274', '2682635', '3473468', '6341859', '6337398', '166323']"
Clinical+Trials,57,"['28614379', '28182034', '28059665', '28040596', '27942479', '26981138', '27239273', '26670466', '26423405', '26357515', '26003452', '25908215', '25893197', '25295458', '25054836', '24946722', '24551453', '23976842', '23945013', '23908550', '23853752', '23634949', '23634843', '23628920', '23257126', '22897821', '22817658', '22526781', '22139679', '21469168', '21404194', '20462659', '20213764', '19707398', '19105710', '18771528', '18227494', '18024211', '17911499', '17702391', '17520820', '17230513', '17051976', '16980878', '16899777', '16617846', '16555436', '15833829', '15793222', '15547111', '15495094', '15456561', '15213307', '14977841', '12895212', '10095980', '9057630']"
Clone,27,"['28783371', '25381057', '25374426', '24385585', '23463764', '22621620', '22144828', '21829495', '21159666', '20883167', '19403381', '18704087', '17890064', '12757644', '12538722', '12243356', '12024037', '11710530', '11697497', '11266114', '11165366', '8868234', '8152926', '1654331', '1701215', '2163836', '2137012']"
Conflict+of+Interest ,1,['28202934']
Contamination,14,"['27135839', '26448745', '25663403', '25412353', '25351391', '24804829', '22306959', '20798047', '18662397', '18089389', '17597212', '10390935', '9113601', '7541111']"
Dose-dependent,95,"['28121356', '27155204', '27039209', '26165557', '26074732', '26009496', '25712731', '25448881', '25337571', '25326893', '25231122', '24900970', '24792235', '24708487', '24589031', '24587321', '24239290', '24122418', '24081676', '23936343', '23573102', '23492364', '23349038', '22621398', '22428884', '22246399', '21961649', '21914790', '21750577', '21687510', '21625550', '21243427', '21129477', '21046465', '20840810', '20370940', '20123013', '19782726', '19657716', '19285023', '18693175', '18456410', '18424723', '18339371', '18339155', '18292803', '18224727', '17977947', '17918160', '17911405', '17450507', '17395477', '17267205', '17241528', '17133340', '17080405', '16891626', '16775809', '16537533', '16466641', '16413539', '16207520', '16192765', '16009522', '15934020', '15763381', '15740897', '15276867', '15269168', '15177893', '15076954', '12651654', '12169113', '12115878', '12115185', '11834606', '11714798', '11375852', '11226115', '11102966', '10925314', '9780201', '9601702', '23839547', '23839884', '23839836', '7955120', '7521696', '8142647', '7679698', '1752960', '1912585', '1996082', '1967819', '2769271']"
Gender,60,"['28964001', '28083053', '28042118', '27242466', '26715275', '26064224', '25903433', '25895660', '25861171', '25791693', '25779864', '25722125', '25685750', '25179837', '25148935', '25114790', '25108671', '25063470', '24758610', '24677581', '24664582', '24566684', '24101190', '23761433', '23261134', '22887471', '22797821', '22783975', '22518314', '22249783', '21291296', '25132890', '21106792', '20656892', '20510289', '20492755', '20161852', '20112019', '20066669', '19908618', '19757704', '19702965', '19181022', '19077420', '18846795', '18800179', '18790478', '18181436', '17673498', '17406964', '17182885', '17177150', '16639069', '16543683', '16412036', '16319506', '15867557', '15848514', '12048910', '11642338']"
Positive+control,8,"['23365606', '23178309', '22853996', '21453783', '21061058', '17251387', '16362798', '11546713']"
Questionairre,0,[]
Reproducibility,14,"['27312347', '27005886', '26411479', '25484052', '22559822', '22476205', '21720318', '20215681', '18794197', '18387932', '17367204', '16249842', '16033828', '2460496']"
Reproducible+Results,0,[]
Sensitivity,218,"['28794294', '28788903', '27775785', '27749538', '27134183', '27058318', '26997557', '26949460', '26825922', '26756009', '26601276', '26568859', '26566453', '26453654', '26379850', '26226136', '26099269', '26003676', '26000912', '25974230', '25908215', '25889486', '25663403', '25613067', '25495232', '25416437', '25416197', '25398499', '25365407', '25324543', '25313740', '25303488', '25209179', '25108671', '25100064', '25070829', '25063470', '25036347', '24986664', '24937940', '24909173', '24867712', '24824633', '24772442', '24611076', '24592997', '24455245', '24408401', '24397981', '24357718', '24319696', '24101190', '24079275', '24078924', '24018781', '23971938', '23943369', '23927930', '23836880', '23815562', '23780894', '26403628', '23675629', '23641911', '23558964', '23543587', '23494240', '23492364', '23473301', '23418897', '23346038', '23271362', '23216584', '23106158', '23044393', '22897821', '22856580', '22806317', '22593708', '22508774', '22476205', '22360771', '22302027', '22215414', '22162948', '22070530', '22056957', '22051579', '22033453', '22009755', '22005302', '21752810', '21553464', '21339993', '21282367', '21183666', '21159666', '21151908', '21116370', '21042019', '20883167', '20824697', '20670944', '20593050', '20584094', '20451373', '20427204', '20234302', '20176361', '19996213', '19918075', '19819984', '19696185', '19693769', '19657031', '19643988', '19418497', '19372686', '19298132', '19237581', '19229590', '19151195', '19139573', '19118527', '19086961', '19052642', '19050079', '19036880', '19032554', '19019027', '18824754', '18790523', '18692561', '18604561', '18514061', '18401421', '18387932', '18382681', '18356840', '18349188', '18339371', '18316554', '18234298', '18165437', '18024211', '17993584', '17906199', '17848183', '17673498', '17604977', '17575123', '17535111', '17519423', '17445657', '17316981', '17312943', '17290307', '17290060', '17222507', '17097229', '17086017', '17057710', '16974114', '16936204', '16872742', '16803864', '16556320', '16542160', '16478859', '16455819', '16363482', '16360453', '16325862', '16040081', '16033828', '15951848', '15912198', '15882421', '15866879', '15811683', '15811494', '15730395', '15661884', '15650163', '15518170', '15495094', '15489860', '22557158', '15370385', '15304519', '15285468', '14977841', '14672915', '14512211', '12935295', '12496384', '12352599', '12190834', '11741883', '11714847', '11463794', '11461904', '11433760', '11165366', '11141566', '10944516', '10077615', '9392479', '9288788', '8934696', '7925305', '8047164', '8386388', '6985768', '376552', '360062', '400712', '350903']"
