,1
160560,1979
166323,1975
213200,1978
350903,1978
360062,1978
376552,1979
400712,1978
1359211,1992
1400454,1992
1518830,1992
1569576,1992
1588795,1992
1654331,1991
1701215,1990
1709882,1991
1727479,1992
1752960,1991
1912585,1991
1912750,1991
1967819,1990
1979954,1990
1996082,1991
1998509,1991
2033668,1991
2037350,1991
2089274,1990
2124237,1990
2137012,1990
2163836,1990
2174558,1990
2178033,1990
2214028,1990
2303032,1990
2452833,1988
2460496,1988
2478292,1989
2544648,1989
2553601,1989
2681489,1989
2682635,1989
2684782,1989
2769271,1989
2993656,1985
2997609,1985
3084104,1986
3473468,1987
6171369,1981
6337398,1983
6338856,1983
6405790,1983
6985768,1980
6999032,1980
7497558,1995
7510271,1994
7511208,1994
7517181,1994
7521696,1994
7531724,1994
7541111,1995
7543632,1995
7614644,1995
7679698,1993
7687746,1993
7911078,1994
7923908,1994
7925305,1994
7941560,1994
7947503,1994
7954995,1994
7955120,1994
7957427,1994
8004733,1994
8047164,1994
8096625,1993
8142647,1994
8152926,1994
8197188,1994
8213314,1993
8376821,1993
8386388,1993
8393056,1993
8630409,1996
8639531,1996
8665632,1996
8692921,1996
8700981,1996
8706192,1995
8807169,1996
8825534,1996
8868234,1996
8885844,1996
8909298,1996
8922763,1996
8934696,1996
9032197,1997
9057630,1997
9067046,1997
9103197,1997
9104522,1997
9113601,1997
9161742,1997
9199447,1997
9241336,1997
9260009,1997
9288788,1997
9299469,1997
9314560,1997
9328234,1997
9366938,1997
9389277,1997
9392479,1997
9421334,1997
9439634,1998
9492007,1998
9497388,1998
9509207,1998
9542558,1998
9549743,1998
9587723,1998
9601702,1998
9603161,1998
9649986,1998
9649996,1998
9655725,1998
9660756,1998
9685252,1998
9689270,1998
9771305,1998
9773135,1998
9780201,1998
9809085,1998
9861127,1998
9879861,1998
9895070,1999
9924225,1998
10066780,1999
10077615,1999
10084103,1999
10095978,1998
10095980,1998
10195271,1999
10195272,1999
10231003,1999
10357331,1999
10390935,1999
10409727,1999
10411496,1999
10417466,1999
10440390,1999
10453151,1999
10463949,1999
10559146,1999
10590051,1999
10597557,1999
10618412,2000
10642298,2000
10648342,2000
10666572,1999
10688189,2000
10696980,2000
10705099,2000
10722567,2000
10735806,2000
10806476,2000
10820203,2000
10825206,2000
10833523,2000
10853206,2000
10875912,2000
10890482,2000
10915617,2000
10925314,2000
10932255,2000
10944516,2000
10966782,2000
10993934,2000
11049912,2000
11100731,2000
11102966,2000
11108151,2000
11127214,2000
11139469,2001
11141566,2001
11146662,2000
11146789,2001
11165366,2001
11182366,2001
11206594,2000
11226115,2001
11259597,2001
11266114,2001
11316402,2001
11346645,2001
11350463,2001
11375852,2001
11376558,2001
11378603,2001
11383794,2001
11433760,2001
11435477,2001
11461904,2001
11463794,2001
11465951,2001
11490022,2001
11518677,2001
11518764,2001
11527656,2001
11546713,2001
11642338,2001
11665979,2001
11697497,2001
11710530,2001
11711437,2001
11714793,2001
11714798,2001
11714847,2001
11741883,2002
11772810,2002
11777511,2002
11777514,2002
11802188,2001
11805921,2002
11821158,2002
11834606,2002
11903942,2002
11948187,2002
11952142,2002
12024037,2002
12029431,2002
12048910,2002
12115185,2002
12115878,2002
12117884,2002
12169113,2002
12190834,2002
12243356,2002
12351674,2002
12352599,2002
12370229,2002
12373472,2002
12407422,2002
12417916,2002
12424250,2003
12438431,2002
12446324,2002
12454141,2002
12477671,2002
12483735,2002
12490382,2003
12496384,2003
12531578,2003
12538174,2003
12538722,2003
12554767,2003
12574348,2003
12609035,2003
12620953,2003
12625310,2003
12642615,2003
12651654,2003
12670382,2003
12672770,2003
12680748,2003
12696621,2003
12699092,2002
12757644,2003
12761696,2003
12768462,2003
12822012,2003
12895212,2003
12932358,2003
12935295,2003
12974429,2003
14512211,2003
14530932,1999
14557482,2003
14585844,2004
14608366,2003
14645581,2003
14652118,2003
14672915,2004
14679216,2004
14871577,2004
14963337,2004
14977841,2004
15007079,2004
15024332,2004
15028690,2004
15039353,2004
15041987,2004
15076954,2004
15084597,2004
15142171,2004
15144295,2004
15146069,2004
15147813,2004
15154073,2004
15157037,2004
15177893,2004
15179047,2004
15208318,2004
15213307,2004
15240731,2004
15256470,2004
15269168,2004
15276867,2004
15284244,2004
15285468,2004
15304519,2004
15321434,2004
15365748,2004
15370385,2004
15385341,2004
15456561,2004
15489860,2004
15495094,2004
15507319,2004
15518170,2004
15535488,2004
15547111,2005
15563976,2004
15571483,2004
15609310,2005
15618611,2004
15635462,2005
15642590,2005
15642807,2005
15650163,2005
15659666,2005
15661884,2005
15703630,2004
15723591,2005
15728055,2005
15730395,2005
15740897,2005
15741530,2005
15741619,2005
15750337,2005
15750339,2005
15759001,2005
15763381,2005
15784899,2005
15793222,2005
15811494,2005
15811683,2005
15819761,2005
15824067,2005
15833829,2005
15848514,2005
15855163,2005
15866879,2005
15867557,2005
15870476,2005
15872124,2005
15882421,2005
15896584,2005
15897362,2005
15912198,2004
15934020,2005
15935697,2005
15950961,2005
15951848,2005
15965225,2005
15970594,2005
16002281,2005
16009522,2005
16026327,2005
16033828,2005
16040081,2006
16061819,2005
16088114,2005
16094364,2005
16154993,2005
16157375,2006
16159641,2005
16174581,2005
16178425,2005
16192765,2005
16200333,2005
16207520,2006
16219383,2005
16230623,2005
16249842,2005
16263156,2006
16263789,2006
16319506,2006
16322903,2006
16325862,2006
16342351,2005
16360453,2005
16362798,2005
16363482,2005
16368125,2006
16372008,2005
16387853,2006
16390818,2005
16409294,2006
16410328,2006
16412036,2006
16413539,2006
