,d1,d2
Animal model,2,"['18020863', '11172533']"
Antibody,15,"['27743177', '23841891', '23662241', '23455542', '22519830', '21180374', '17954952', '12601348', '11225494', '10621080', '11178370', '10292484', '3932361', '7462601', '7010747']"
Bio-identical,0,[]
Cell+line,1,['16876979']
Clinical+Trials,48,"['29306063', '28795844', '28618323', '28168385', '28150134', '26941087', '26776188', '26547301', '26262115', '26099226', '24623161', '23540744', '22567063', '22495188', '23408734', '21812501', '21811626', '21654633', '20579843', '20156172', '20105155', '19748765', '19594741', '19471677', '19455540', '19026179', '18265995', '18229989', '17288274', '15127242', '14752399', '12587102', '11514040', '11487450', '10622687', '9739443', '9689196', '9549815', '11645225', '8325045', '3905053', '2986808', '6731684', '6586784', '6730422', '6692073', '6360514', '6368444']"
Clone,2,"['11400594', '10827847']"
Conflict+of+Interest ,3,"['26712665', '20044324', '19539159']"
Contamination,18,"['29484858', '28476493', '27249964', '25748506', '21376508', '20819373', '20384710', '12955683', '12744133', '11298019', '10874437', '8067170', '2170700', '2781065', '3118758', '7420587', '811010', '17830037']"
Dose-dependent,3,"['16264990', '8672878', '9027133']"
Gender,33,"['29508431', '29407329', '28906293', '28025228', '27879292', '26965802', '26752966', '28804356', '25792816', '24598776', '23800947', '23627189', '23289691', '22704090', '21509994', '21391963', '21367768', '20950177', '20380718', '19774424', '19341196', '18783704', '17923296', '17851182', '15884445', '11758039', '11144005', '10778717', '10663456', '10585382', '9629407', '9048505', '1609990']"
Positive+control,2,"['19765670', '18818029']"
Questionairre,0,[]
Reproducibility,8,"['29535253', '28626435', '25736245', '24912384', '21534233', '20963379', '20579843', '12027921']"
Reproducible+Results,0,[]
Sensitivity,69,"['29553431', '29550168', '29417764', '29153444', '28688158', '28523017', '28457177', '28334223', '27919021', '26934843', '26781742', '26471399', '26347046', '26293388', '25795195', '25736245', '25307633', '24503486', '24454409', '24183688', '23996108', '23946195', '23777328', '23268537', '22900965', '22775006', '22619109', '22481626', '22400994', '22294859', '22130285', '21669136', '21785150', '21502928', '20541273', '20528072', '19635708', '19540514', '17175970', '15192623', '14752399', '12908736', '12755251', '12748923', '12623536', '12027921', '12019598', '11994029', '11272709', '11210319', '11156519', '10923768', '10793429', '9605216', '9549815', '9459403', '9174184', '9124757', '8966392', '8614922', '8528924', '8370484', '1297400', '2247038', '2858114', '11219871', '7377273', '86833', '261687']"
Specificity,43,"['28457177', '28084527', '27919021', '26828337', '26347046', '25795195', '25736245', '24503486', '24183688', '23946195', '22775006', '22130285', '21669136', '21785150', '21502928', '20963379', '20541273', '20528072', '20157827', '18538302', '17216436', '17175970', '15192623', '12908736', '12748923', '12507599', '12027921', '11994029', '11272709', '11210319', '11156519', '10923768', '10205294', '9124757', '8966392', '8614922', '2000824', '3222687', '3099090', '3325732', '3928514', '261687', '59529']"
Strain,7,"['27101071', '22423983', '19618621', '10714472', '10190100', '7462601', '6154970']"
Survey,81,"['29549686', '29407329', '28809933', '28247726', '27757962', '27258017', '26982705', '26712665', '26639727', '26538940', '26481058', '26471399', '26262115', '26017664', '25968324', '25571481', '25568526', '25195344', '24623161', '23955369', '23948115', '23009176', '21812501', '21736248', '21198952', '21156412', '20927672', '20863673', '20569456', '20513736', '24922466', '19913771', '19818570', '19672285', '19382128', '19345529', '19175961', '19056190', '18815599', '18568784', '17470321', '17416112', '17279187', '17216436', '16603774', '16434936', '15816983', '15058496', '15029008', '14663379', '14641953', '12611240', '12107382', '12019598', '11850986', '11694685', '11324965', '11193258', '10863753', '28790594', '9848905', '9496838', '19160728', '9264636', '9139251', '8966392', '8586948', '7538316', '1892143', '2040153', '2311905', '2723316', '2493561', '3668138', '3498137', '10311339', '12339405', '6115212', '86833', '557900', '17836657']"
animal+Model ,2,"['18020863', '11172533']"
bioavailability,3,"['11215374', '2000824', '4019794']"
bioavailable,1,['2000824']
case+study,7,"['28292124', '28292039', '26181571', '24902593', '24433491', '16868001', '15734191']"
coaching,0,[]
confounding+factor,0,[]
data+quality,1,['12224740']
dosage,17,"['29445569', '26017664', '23981260', '23881347', '21769417', '20510484', '20180237', '17134971', '12851534', '12577499', '12005469', '9097266', '1571611', '6495510', '6790595', '389402', '4550377']"
dosing,8,"['27571493', '25968324', '23388662', '19151638', '18783704', '15363764', '12851534', '10318216']"
drug+interaction,3,"['28133713', '23760858', '17216436']"
general+conclusion,0,[]
generalized+conclusion,0,[]
human+error,2,"['16909565', '6435447']"
in-vitro+in-vivo+correlation,0,[]
indirect+measurement,0,[]
insufficient+information,2,"['12137557', '7299066']"
long+term+study,0,[]
misinterpretation,8,"['28476493', '26067985', '17934929', '20143678', '14574768', '12923304', '1571611', '3048455']"
off-label,11,"['29417077', '28676019', '27497610', '25162092', '24088156', '23981260', '23710669', '21890447', '19793941', '15556877', '11694685']"
omission,18,"['29482783', '27571493', '27056383', '25968324', '23671975', '23171988', '21238892', '20684730', '20005731', '19765670', '19468003', '18783704', '17134971', '12145491', '7876370', '8325045', '6391458', '6658497']"
phase+III+trials,0,[]
pilot+study,9,"['27083538', '25538160', '24623161', '22023767', '21198952', '20380718', '18511621', '11759488', '2078962']"
placebo,33,"['29486321', '26942248', '26161049', '25449824', '23996108', '23994506', '21558112', '20927672', '20800012', '20230352', '19682544', '18671894', '18240752', '17003295', '16526540', '16324551', '15575939', '15466991', '11475496', '10860211', '9504948', '7757133', '7746682', '8363202', '1520230', '1449278', '1571611', '2078962', '2210190', '6360514', '6368444', '6107463', '4550377']"
plasmid,0,[]
poor+quality,3,"['29297628', '12038906', '1986611']"
qualitative+data,0,[]
quality,160,"['29550168', '29519971', '29407329', '29346638', '29313768', '29290744', '29162388', '28906293', '28901343', '28755422', '28678379', '28641530', '28509626', '28434414', '28362859', '28275627', '27443946', '27296403', '27228709', '26892973', '26734438', '29297628', '28635793', '26639727', '26474116', '26417398', '26370723', '26262115', '25736245', '25726430', '25456778', '25352397', '25307633', '25300881', '25183025', '25134865', '25045671', '24766821', '24518520', '24496367', '23996108', '23922496', '23881347', '23808765', '23806274', '23401181', '23315587', '23296222', '23097696', '22749633', '22633159', '21609652', '22409301', '22290396', '23408734', '22123730', '22022383', '21970264', '21811626', '21692091', '21565538', '21534233', '21276702', '21274537', '20963379', '20938614', '20601369', '20494927', '20462571', '20103174', '19795083', '19618641', '19382128', '19162233', '19056190', '19026179', '18818029', '18772273', '18568784', '18442206', '18072318', '17416112', '17216436', '17127476', '17043541', '21961358', '16987109', '16876979', '16787935', '16781833', '16682911', '16505715', '16493152', '16263013', '15876302', '15819657', '15717964', '15127242', '15064036', '14962874', '14752399', '14653021', '14642457', '14567201', '12923304', '12685757', '12623317', '12619585', '12498426', '12465388', '12224740', '12201186', '12171748', '12090866', '12038906', '12019598', '11990686', '11759488', '11723698', '11694685', '11599228', '11314832', '11225494', '10979693', '10932022', '10675181', '10522232', '10339799', '10327569', '9842667', '9615701', '9549815', '9495671', '9471499', '9365486', '10174446', '11864175', '9508730', '8614922', '8547202', '7856466', '8053382', '8156668', '7768123', '10155486', '8304869', '8490838', '8324298', '10125811', '1360046', '1433407', '1553780', '1732109', '2007490', '1986611', '2129969', '2726108', '3931869', '6731684', '7218892']"
short +term + study,0,[]
side+effects,40,"['29628705', '25045671', '23638609', '23009176', '22942741', '22495188', '22123730', '20156172', '19471677', '19430045', '17954952', '17288274', '16735008', '15363764', '14658963', '10795372', '9097266', '9129249', '8528924', '8060193', '8325045', '1609990', '1892143', '2628951', '3057478', '3666669', '2858114', '6513432', '6342701', '6368444', '7049658', '6226351', '6790595', '7010747', '736254', '360241', '778818', '1220595', '4800290', '4550377']"
speculation,4,"['17851182', '15216824', '8650924', '6642769']"
sub-threshold,0,[]
