,0
404346,1977
667097,1978
717632,1978
748003,1978
792343,1976
823828,1976
836864,1977
900245,1977
1063185,1976
1201641,1975
1284142,1992
1357580,1992
1389055,1992
1444501,1992
1463116,1992
1463998,1992
1487755,1992
1517927,1992
1533027,1992
1552190,1992
1597422,1992
1612477,1992
1620912,1992
1692836,1990
1697618,1990
1705176,1990
1720558,1991
1786144,1991
1796318,1991
1847123,1991
1920657,1991
1935794,1991
1978251,1990
1983109,1990
1987581,1991
2019161,1991
2075004,1990
2125706,1990
2168100,1990
2257741,1990
2328699,1990
2378856,1990
2390121,1990
2420966,1986
2457556,1988
2493048,1989
2564351,1989
2764268,1989
2786781,1989
2885298,1987
2888305,1987
2906088,1988
2975970,1988
2993541,1985
3047064,1988
3058913,1988
3066561,1988
3070279,1988
3129449,1988
3157315,1985
3161538,1985
3171980,1988
3173390,1988
3202811,1988
3281765,1988
3327885,1987
3345793,1988
3377059,1988
3378162,1988
3426799,1987
3487376,1986
3510121,1986
3582279,1987
3608798,1987
3683442,1987
3729666,1986
3772428,1986
3786336,1986
3803383,1986
3875405,1985
3875901,1985
3948473,1986
3975045,1985
3984216,1985
3986963,1985
4014428,1985
4285534,1966
4566489,1972
4593239,1974
6089971,1984
6189261,1983
6258107,1980
6418213,1983
6431433,1984
6474353,1984
6682732,1983
6751003,1982
6767012,1980
6826649,1983
6833518,1983
6973472,1981
7013064,1981
7135200,1982
7471057,1980
7521514,1994
7529355,1995
7535813,1995
7551711,1995
7693038,1993
7723954,1995
7734331,1994
7749141,1995
7850935,1995
7897158,1995
7903154,1993
7903921,1994
8004612,1994
8018619,1994
8047068,1994
8075124,1994
8185652,1994
8200109,1994
8212842,1993
8269275,1993
8272588,1993
8317460,1993
8338338,1993
8437259,1993
8476050,1993
8590278,1995
8625945,1996
8636167,1996
8636703,1995
8701792,1996
8707874,1996
8735631,1996
8764055,1996
8766458,1996
8770334,1995
8784084,1996
8800107,1996
8834846,1995
8836152,1996
8853422,1996
8892952,1996
8899054,1996
8944393,1996
8961387,1996
8979022,1996
8997461,1997
9000666,1997
9105043,1997
9167371,1997
9199024,1997
9218202,1997
9249928,1997
9362058,1997
9362407,1997
9394310,1997
9413633,1997
9417296,1997
9498328,1998
9548208,1997
9559734,1998
9587183,1998
9604941,1998
9616439,1998
9724117,1998
9742158,1998
9779332,1998
9802965,1998
9878041,1999
9973883,1999
10028843,1998
10029075,1999
10086479,1999
10092079,1999
10098833,1999
10213446,1999
10338522,1999
10361328,1999
10372878,1999
10395662,1999
10440767,1999
10487528,1999
10488051,1999
10503759,1999
10516957,1999
10563807,1999
10573082,1999
10657849,2000
10705622,1999
10712671,2000
10735597,2000
10755533,2000
10803581,2000
10815472,2000
10831643,2000
10842006,2000
10843181,2000
10847598,2000
10864100,2000
10866837,2000
10877334,2000
10880191,2000
10929879,2000
10929930,2000
10952440,2000
11002571,2000
11024536,2000
11041543,2000
11084461,2000
11103802,2000
11118001,2000
11146425,2001
11147697,2000
11166084,2000
11190068,2000
11206670,2001
11256238,2000
11276370,2001
11307232,2000
11330353,2001
11348956,2001
11356819,2001
11370798,2001
11399051,2001
11418694,2001
11520765,2001
11568568,2001
11697497,2001
11699224,2001
11756610,2001
11810244,2002
11836559,2002
11861670,2002
11896022,2002
11982588,2002
11983193,2002
12007212,2002
12062443,2002
12072493,2002
12115584,2002
12115728,2002
12138149,2002
12172212,2002
12177164,2002
12190089,2002
12194894,2002
12209009,2002
12270728,2002
12281403,1985
12364387,2002
12381764,2002
12406721,2002
12413253,2002
12466486,2002
12491849,2002
12496178,2003
12595465,2003
12638644,2003
12731453,2003
12737619,2003
12766088,2003
12769723,2003
12788803,2003
12794116,2003
12955587,2003
14504160,2003
14567458,2003
14572860,2003
14575241,2003
14678781,2004
14678916,2003
14726922,2004
14752796,2004
14970094,2004
14971252,2003
15006730,2004
15014969,2004
15098648,2004
15169976,2004
15179190,2004
15201248,2004
15232600,2004
15237710,2004
15242758,2004
15245578,2004
15277798,2004
15294031,2004
15447724,2004
15498048,2004
15588765,2004
15642120,2005
15644926,2004
15659151,2005
15710303,2005
15726917,2004
15735242,2005
15869128,2005
15882290,2005
15951667,2005
16019207,2005
16101484,2005
16123775,2005
16150477,2006
16187688,2005
16193836,2005
16194605,2005
16235296,2005
16238650,2005
16255784,2005
16316292,2005
16324037,2005
16428609,2006
16453734,1986
16461431,2006
16474002,2006
16509857,2006
16550161,2006
16572601,2006
16606438,2006
16653052,1992
16676224,2006
16731800,2006
16740273,2006
16785040,2006
16787286,2006
16822861,2006
16840535,2006
16842799,2007
16873787,2006
16879217,2006
16899617,2006
16970879,2006
16971535,2006
17020930,2006
17126837,2007
17130786,2006
17196758,2007
17209321,2006
17242465,2007
17242494,2006
17254620,2007
17293913,2006
17350342,2007
17379248,2007
17459942,2007
17466005,2007
17472585,2007
17474321,2007
17577120,2007
17602261,2008
17618457,2008
17666036,2007
17680565,2007
17688643,2007
17825066,2007
17897609,2007
17908332,2007
17914699,2004
18022678,2008
18065445,2008
18203856,2008
18212270,2008
18303021,2008
18304850,2008
18321434,2008
18355921,2008
18421800,2008
18422767,2008
18426323,2008
18471062,2008
18492142,2006
18496507,2008
18512767,2008
18583526,2008
18609557,1993
18710756,2008
18714151,2008
18977144,2008
19014578,2008
19026298,2008
19112219,2009
19169278,2009
19228121,2009
19248311,2009
19327573,2009
19369401,2009
19404890,2009
19432819,2010
19472957,2009
19497385,2009
19567893,2009
19573884,2009
19588413,2009
19641893,2009
19661450,2009
19703838,2010
19725258,2009
19746842,2009
19772904,2009
19808643,2009
19811343,2009
19822649,2010
19875691,2009
19877824,2010
19888836,2009
19940996,2010
20014058,2010
20026672,2010
20048746,2010
20096120,2010
20102093,2009
20153482,2010
20368127,2010
20373060,2010
20385846,2010
20401920,2010
20447659,2010
20452662,2011
20491462,2010
20539322,2010
20595577,2010
20601606,2010
20602189,2010
20659341,2010
20668524,2010
20702398,2010
20703815,2011
20705294,2010
20726982,2010
20841783,2010
20961368,2010
20971830,2011
21030882,2011
21052827,2011
21058954,2011
21116666,2011
21143499,2011
21168094,2011
21198622,2011
21206928,2011
21225307,2011
21236504,2012
21238894,2011
21272378,2011
21292026,2011
21323640,2011
21340593,2011
21347323,2011
21361392,2011
21364933,2011
21365015,2011
21398512,2011
21423014,2011
21490287,2011
21498790,2011
21511811,2011
21558034,2011
21559523,2011
21572851,2011
21577331,2010
21666477,2011
21773038,2011
21818146,2012
21849968,2011
21857805,2011
21981302,2011
22055615,1980
22093619,2011
22095450,2012
22105451,2011
22154198,2012
22154479,2012
22155255,2012
22169011,2012
22211405,2012
22220221,2011
22244200,2012
22293055,2012
22304943,2012
22355547,2011
22426959,2012
22430975,2012
22443705,2008
22529196,2012
22536154,2012
22544658,2012
22561669,2012
22580450,2012
22616830,2012
22623147,2012
22644513,2012
22729227,2012
22729228,2012
22735397,2012
22759079,2012
22773782,2012
22819575,2012
22820844,2012
22864617,2013
22870598,2012
22874675,2012
22913912,2012
22949840,2012
22952575,2012
23065791,2012
23091408,2012
23099186,2012
23118662,2012
23129868,2012
23165808,2012
23194380,2012
23212541,2013
23236426,2012
23277709,2012
23284971,2012
23297852,2013
23327249,2013
23383963,2013
23469063,2013
23489974,2013
23509922,2013
23561334,2013
23604067,2013
23622218,2013
23638927,2013
23651723,2013
23656856,2013
23684959,2013
23715824,2013
23761782,2013
23825425,2013
23851757,2013
23940794,2013
23961250,2013
23999507,2014
24001715,2013
24035139,2013
24036492,2013
24211734,2014
24239931,2014
24361347,2015
24395277,2014
24452681,2014
24472848,2014
24487540,2014
24529134,2014
24618833,2014
24639665,2014
24643214,2013
24643428,2014
24813161,2014
24847174,2013
24889776,2014
24898440,2014
24908111,2014
24921639,2014
24924946,2014
24925479,2014
24950220,2014
24959784,2014
24960516,2014
24983750,2014
25007965,2014
25044780,2015
25091059,2015
25145274,2016
25161402,2012
25172980,2015
25174569,2014
25190728,2014
25197540,2011
25249303,2014
25259555,2014
25267332,2014
25309778,2014
25317310,2014
25328348,2012
25367419,2014
25407036,2014
25446254,2015
25448462,2014
25496719,2015
25537107,2015
25608244,2015
25613176,2015
25648025,2014
25653978,2014
25662053,2015
25667430,2015
25747331,2015
25768016,2015
25809378,2015
25831210,2015
25883418,2015
25889317,2015
25963934,2015
25965192,2015
25983040,2015
25997831,2015
26005364,2015
26059219,2016
26136625,2015
26147011,2015
26177778,2015
26190512,2015
26195824,2015
26254697,2015
26311243,2016
26386081,2015
26471811,2015
26481491,2016
26505578,2016
26535061,2015
26547484,2016
26586646,2016
26627776,2015
26725096,2016
26757191,2016
26849447,2016
26854974,2016
26924347,2015
27032425,2016
27043071,2016
27054116,2016
27060049,2016
27060929,2018
27175674,2016
27179269,2016
27229113,2016
27246365,2016
27275336,2016
27280234,2015
