,0
18752,1977
333397,1977
381530,1979
756169,1978
835143,1977
1083575,1976
1342294,1992
1375966,1992
1698101,1990
1704655,1991
1786403,1991
1846387,1991
1854266,1991
2406107,1990
3291836,1988
3537630,1986
3731526,1986
3996845,1985
6322974,1984
6337900,1983
6346489,1983
6608912,1984
6994717,1980
7552067,1995
7716706,1994
7775970,1995
8354016,1993
8620336,1996
8695544,1995
8791266,1996
8810057,1996
8905027,1996
9111231,1997
9234057,1997
9392327,1997
9755110,1998
10027515,1999
10093018,1999
10406179,1999
10511694,1999
10516963,1999
10554796,1999
10746149,1999
10902732,2000
10914719,2000
10973354,1998
10974484,2000
11028504,2000
11059764,2000
11084945,2000
11213016,2000
11674840,2001
11812635,2002
12097239,2002
12161165,2002
12194748,2002
12429047,2002
12485908,2002
12540020,2002
12729587,2003
12787360,2003
14597218,2003
14690868,2004
14759071,2003
15080822,2004
15107604,2004
15118423,2004
15122656,2004
15127223,2004
15326395,2004
15368955,2004
15794948,2005
15817070,2005
15893056,2005
16020753,2005
16344862,2005
16541129,2006
16552394,2006
16715125,2006
17141594,2007
17499714,2007
17665088,2007
17903323,2007
17914967,2007
17938040,2007
18020588,1998
18020893,2007
18349572,2008
18374327,2008
18409352,2007
18609060,2008
18654411,2007
18830709,2009
18843847,2008
19074930,2009
19079545,2008
19182461,2009
19407498,2009
19474715,2009
19635247,2009
20348058,2010
20875703,2011
20922515,2010
20944117,2010
21048932,2010
21109213,2011
21423454,2010
21464054,2011
21607134,2011
21878085,2011
22115949,2012
22161265,2011
22193548,2012
22402212,2012
22525851,2012
22771140,2012
22888799,2012
22991383,2013
23229034,2012
23250690,2013
23258186,2012
23375875,2013
23380028,2013
23525894,2013
23579788,2013
23625488,2013
23662578,2013
23901129,2013
24061072,2014
24112782,2013
24175162,2011
24188271,2014
24244454,2013
24727734,2014
24905496,2014
24999483,2014
25358358,2014
25609693,2015
25701466,2015
25783794,2015
26122877,2015
26450835,2015
26467987,2017
26683635,2016
26706736,2015
26820297,2016
26952655,2016
26956082,2016
27017325,2016
27063256,2016
27064487,2016
27430109,2016
27863129,2018
28025127,2017
28027265,2017
28224027,2016
28266084,2017
28550481,2017
28744152,2017
28746918,2017
28754721,2018
28918834,2017
29323137,2018
29428108,2018
29462871,2018
29615961,2018
