,0
59529,1976
86833,1979
261687,1979
360241,1977
389402,1979
736254,1978
778818,1976
811010,1975
1360046,1992
1433407,1992
1449278,1992
1520230,1992
1553780,1992
1571611,1992
1609990,1992
1732109,1992
1892143,1991
1986611,1991
2000824,1991
2007490,1991
2040153,1991
2078962,1990
2129969,1990
2210190,1990
2311905,1990
2493561,1989
2628951,1989
2726108,1989
2781065,1989
2986808,1985
3048455,1988
3057478,1988
3099090,1986
3222687,1988
3325732,1986
3498137,1987
3666669,1987
3668138,1987
3905053,1985
3928514,1985
3932361,1985
4019794,1985
4550377,1972
4800290,1973
6107463,1980
6115212,1981
6154970,1980
6226351,1982
6342701,1983
6360514,1983
6368444,1983
6391458,1984
6435447,1984
6495510,1984
6586784,1984
6642769,1983
6658497,1983
6692073,1984
6730422,1984
6731684,1984
6790595,1981
7010747,1981
7049658,1982
7218892,1981
7299066,1981
7377273,1980
7420587,1980
7462601,1981
7538316,1994
7757133,1995
7856466,1994
7876370,1994
7936974,1994
8053382,1994
8060193,1994
8156668,1994
8304869,1993
8325045,1993
8363202,1993
8370484,1993
8490838,1993
8547202,1995
8586948,1995
8614922,1996
8650924,1996
8672878,1996
9027133,1996
9048505,1997
9097266,1997
9124757,1997
9129249,1997
9139251,1997
9174184,1997
9264636,1997
9365486,1997
9459403,1997
9495671,1997
9496838,1998
9504948,1998
9605216,1998
9615701,1997
9629407,1997
9689196,1998
9739443,1998
9842667,1998
9848905,1998
10125811,1993
10174446,1997
10190100,1998
10205294,1999
10292484,1989
10311339,1985
10318216,1989
10339799,1999
10522232,1999
10585382,1999
10621080,1999
10622687,1999
10663456,2000
10675181,2000
10714472,2000
10778717,2000
10793429,2000
10795372,1999
10827847,2000
10860211,2000
10863753,2000
10874437,2000
10923768,2000
10932022,2000
10979693,2000
10983276,2000
11144005,2000
11156519,2000
11172533,2001
11178370,1994
11193258,2000
11193627,2000
11210319,2001
11215374,2001
11219871,1980
11272709,2001
11298019,2001
11314832,2001
11324965,2001
11400594,2001
11475496,2000
11487450,2001
11514040,2001
11645225,1993
11694685,2001
11723698,2001
11758039,2001
11759488,2001
11850986,2002
11864175,1997
11990686,2001
11994029,2002
12005469,2002
12019598,2002
12027921,2002
12038906,2002
12090866,2002
12107382,2002
12137557,2002
12171748,2002
12201186,2002
12224740,2002
12339405,1984
12465388,2002
12577499,2002
12587102,2003
12601348,2003
12611240,2002
12619585,2002
12623317,2003
12623536,2003
12685757,2001
12744133,2003
12748923,2003
12851534,2003
12908736,2003
12923304,2003
12955683,2003
14567201,2003
14574768,2003
14641953,2003
14642457,2003
14653021,2003
14658963,2003
14663379,2003
14752399,2003
14962874,2004
15029008,2004
15064036,2004
15127242,2004
15192623,2004
15216824,2004
15363764,2004
15466991,2004
15556877,2004
15575939,2005
15717964,2005
15734191,2005
15737427,2005
15816983,2005
15819657,2005
15876302,2005
15884445,2005
16263013,2005
16264990,2005
16324551,2005
16434936,2005
16493152,2006
16505715,2006
16526540,2006
16603774,2006
16682911,2006
16735008,2006
16781833,2007
16868001,2006
16876979,2006
16909565,2006
16987109,2006
17003295,2006
17043541,2004
17134971,2006
17175970,2006
17216436,2007
17279187,2006
17288274,2006
17416112,2007
17830037,1967
17836657,1968
17851182,2007
17923296,2007
17934929,2007
17954952,2007
18020863,2007
18072318,2007
18229989,2008
18240752,2008
18265995,2008
18442206,2008
18511621,2008
18538302,2008
18568784,2008
18671894,2009
18815599,2008
18818029,2009
19026179,2008
19056190,2009
19151638,2009
19162233,2009
19175961,2008
19345529,2009
19382128,2010
19430045,2009
19455540,2009
19468003,2009
19471677,2008
19540514,2009
19594741,2010
19618621,2009
19618641,2009
19635708,2009
19672285,2010
19682544,2009
19748765,2010
19774424,2009
19793941,2009
19795083,2009
19818570,2010
19913771,2009
20103174,2009
20105155,2010
20143678,2007
20156172,2010
20157827,2010
20180237,2010
20230352,2010
20380718,2010
20384710,2011
20462571,2010
20494927,2010
20510484,2010
20513736,2010
20528072,2010
20541273,2010
20569456,2010
20579843,2010
20601369,2011
20684730,2010
20800012,2011
20819373,2010
20863673,2010
20927672,2010
20938614,2010
20950177,2010
20963379,2010
21156412,2010
21180374,2010
21198952,2011
21238892,2011
21274537,2011
21276702,2011
21367768,2011
21376508,2011
21391963,2011
21502928,2011
21509994,2011
21558112,2011
21609652,2011
21654633,2011
21692091,2011
21736248,2011
21785150,2012
21811626,2011
21812501,2011
21961358,2006
22022383,2011
22123730,2012
22130285,2011
22290396,2012
22294859,2012
22400994,2012
22409301,2012
22423983,2012
22481626,2012
22495188,2012
22519830,2012
22567063,2012
22619109,2012
22633159,2012
22704090,2012
22749633,2013
22775006,2012
22900965,2012
22942741,2012
23009176,2012
23097696,2012
23171988,2012
23268537,2013
23289691,2012
23315587,2013
23388662,2013
23401181,2013
23408734,2011
23455542,2013
23540744,2013
23638609,2013
23662241,2013
23710669,2013
23760858,2013
23777328,2013
23800947,2013
23806274,2013
23808765,2013
23841891,2013
23881347,2013
23922496,2013
23946195,2013
23948115,2013
23955369,2014
23994506,2013
23996108,2013
24088156,2013
24183688,2014
24433491,2014
24454409,2013
24496367,2014
24503486,2014
24518520,2013
24598776,2014
24623161,2014
24766821,2014
24902593,2014
24912384,2014
24922466,2010
25045671,2014
25134865,2014
25162092,2014
25195344,2014
25307633,2014
25308345,2014
25352397,2015
25449824,2014
25456778,2015
25538160,2015
25568526,2014
25571481,2014
25726430,2015
25736245,2015
25792816,2015
25795195,2015
25968324,2015
26017664,2015
26067985,2015
26099226,2015
26161049,2015
26181571,2015
26262115,2015
26293388,2015
26347046,2015
26370723,2015
26417398,2015
26471399,2015
26474116,2016
26481058,2016
26538940,2015
26547301,2015
26639727,2015
26712665,2015
26734438,2015
26752966,2015
26776188,2016
26781742,2016
26828337,2015
26892973,2016
26934843,2016
26941087,2016
26942248,2016
26965802,2016
26982705,2016
27056383,2016
27083538,2016
27101071,2016
27228709,2016
27249964,2016
27258017,2016
27296403,2016
27322101,2016
27443946,2016
27497610,2016
27571493,2016
27743177,2017
27757962,2016
27879292,2017
27919021,2018
28025228,2017
28084527,2017
28133713,2017
28150134,2017
28168385,2017
28247726,2016
28275627,2017
28292039,2016
28292124,2016
28334223,2017
28362859,2017
28434414,2017
28457177,2017
28476493,2017
28509626,2017
28618323,2017
28626435,2017
28635793,2016
28641530,2017
28676019,2018
28678379,2017
28688158,2017
28755422,2018
28790594,1999
28795844,2017
28804356,2015
28809933,2017
28901343,2017
28906293,2017
29153444,2017
29306063,2018
29313768,2018
29346638,2018
29417764,2018
29445569,2018
29482783,2018
29484858,2018
29486321,2018
29508431,2018
29519971,2018
29535253,2018
29549686,2018
29550168,2018
29553431,2018
29628705,2018
